"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Sweden1","Sweden2","Sweden3","WL7","WL8","WL9","Silkie1","Silkie2","Silkie3","Tibetan1","Tibetan2","Tibetan3","WC.white1","WC.white2","WC.white3"
"1","gene-LOC121108331.s1",167.827659799016,1.78525941725588,0.162210355326335,11.0058289044759,3.58206483390202e-28,8.26203253939502e-24,76.5959512921544,80.9794357705179,96.67950776375,214.477257127579,265.45676269206,254.282057691041,80.1090019678565,102.22946111304,66.5397990391363,105.494764119103,88.2221349086602,68.790726878284,369.823895873243,302.858420100744,344.875720648064
"2","gene-LOC124417241",744.060095787639,-4.64090652462726,0.444673233262917,-10.4366671467344,1.68627364559147e-25,1.29646338785224e-21,629.900915231533,1719.10561238136,772.62362927165,46.0728922718504,129.711827224529,53.7904352807972,925.556898769119,605.046958735697,1994.41957653304,2185.69522400838,980.081196212175,1055.04038723107,22.885142071364,27.7062907978599,13.2644507941563
"3","gene-LRR1",25879.6321194914,-6.31477644874762,0.604701582992033,-10.4427979458933,1.58081463225991e-25,1.29646338785224e-21,3572.79799119326,6840.32318297712,4773.04292531119,749.876039734944,817.486166926686,293.402374258894,51718.6364935952,95815.5089972812,50442.4908555884,22285.9642808348,98619.7436657523,50902.1469887615,450.379595964444,490.114730320762,422.56750387098
"4","gene-LOC121107002",465.75353691597,-8.65836117841984,0.863198952226474,-10.0305510752615,1.11890360076765e-23,6.45187788792644e-20,299.328914918025,2001.07015379918,1285.26875027103,3.17744084633451,0,0,172.797103418269,2367.93722148501,230.671303335672,141.441128189316,347.699002287073,129.35647554286,0.915405682854562,0.955389337857236,5.68476462606699
"5","gene-LOC121106498",397.857394763554,-6.01397452146677,0.623057191345697,-9.65236354704069,4.80356042993951e-22,2.2158824263311e-18,132.027231832529,98.5412411183411,95.8670749253992,14.2984838085053,6.03310824300137,2.44501978549078,1267.17875840064,1231.29706496151,537.641576236221,370.403838462628,1206.93811454873,968.304253341063,6.40783977998193,19.1077867571447,11.369529252134
"6","gene-LOC107050168",379.585037711548,-6.25629671591662,0.678522177448542,-9.22047491423533,2.95787216107275e-20,1.13705535658572e-16,87.6822074002294,120.981325729448,105.616268985609,12.709763385338,6.03310824300137,22.005178069417,677.285198455514,375.598612681984,747.907341199892,575.923267820584,2407.20396679344,543.596287396875,4.57702841427281,2.86616801357171,3.78984308404466
"7","gene-LOC121109676",1069.89083094937,-8.0869484227174,0.884084446907147,-9.1472578790505,5.83969916158455e-20,1.69054970313725e-16,45.3528658966704,41.9532016642442,45.4962389476471,9.53232253900353,6.03310824300137,4.89003957098157,1431.36910954137,1844.67383163975,8833.82372043573,514.189294743479,2210.74291006407,1041.58133197228,7.32324546283649,3.82155735142895,7.57968616808932
"8","gene-LOC121108103",81.5862097052098,-5.41197838240748,0.591678908386837,-9.14681646699692,5.86360183182226e-20,1.69054970313725e-16,132.027231832529,134.640507666644,149.487642256555,6.35488169266902,0,4.89003957098157,34.4270091101532,60.5804214003201,346.89415232403,146.129784372387,137.893420949671,62.0611992488867,3.66162273141825,0.955389337857236,3.78984308404466
"9","gene-LOC124417789",3245.07814563611,-5.88786892784378,0.646867778018642,-9.10212121846344,8.8584490536055e-20,2.27022363801568e-16,516.014829757672,477.095711949196,255.916344080515,87.379623274199,158.369091378786,75.7956133502143,7524.28766417099,8832.62544016667,7535.85404051231,3933.78253759677,11365.8281536527,7692.59780569333,48.5165011912918,74.5203683528644,97.58845941415
"10","gene-LOC101748203",713.833460396232,-4.33703429120149,0.480367897033585,-9.02856814117673,1.73932634524673e-19,4.01175621531159e-16,1594.40519663406,478.071367801853,1416.07043724552,68.3149781961919,113.120779556276,39.1203165678525,1081.80255549981,2227.08774172927,116.222848988358,496.216112708373,1203.97266463583,1751.17263422762,44.8548784598735,39.1709628521467,37.8984308404466
"11","gene-LOC121106906",638.718968595411,-8.16824753220675,0.908966684975309,-8.98630023214617,2.55692848071377e-19,4.91462961730526e-16,23.1803536805204,36.0992665483032,34.9346120490861,0,3.01655412150068,0,1392.9697532262,1790.15145237946,2227.75247183028,2091.14065764977,1117.23325468362,846.425030719755,4.57702841427281,4.77694668928618,8.52714693910049
"12","gene-LOC121107015",886.131136130089,-7.53269262356267,0.844582336545477,-8.91883751011536,4.71208136560486e-19,7.26188232940852e-16,237.850585591427,32635.6882713714,320.098538310231,0,1.50827706075034,0,374.062695139165,1974.16448238293,2897.58644882425,234.432809153562,5003.45536553401,1665.93195092192,7.32324546283649,4.77694668928618,32.2136662143796
"13","gene-LOC121107014",16184.7026128449,-9.76244779391534,1.09461796601521,-8.91858903929199,4.72266355695329e-19,7.26188232940852e-16,390.034646711365,7566.21113735381,1464.81640754657,3.17744084633451,3.01655412150068,0,25291.9346543476,9386.17904071209,103126.929340135,1535.53489995583,33878.0411674037,59945.8843973794,45.7702841427281,43.9479095414329,89.0613124750495
"14","gene-HIST1H2A4L4",269.190874121312,-4.54900640756292,0.521268799199486,-8.72679587680836,2.61989331185381e-18,3.57904276127035e-15,94.7370976508226,90.7359942970864,101.554104793855,15.8872042316725,34.6903723972579,14.6701187129447,765.338894833406,542.952026800369,558.047114608223,439.952238511518,948.943972126765,383.583074875649,20.1389250228004,12.4200613921441,14.2119115651675
