IND	POP	SEX	Weights	Date
WYM10	WY	F	32	W0
TCG1	TN	M	30	W0
TCG2	TN	M	33	W0
TCG3	TN	M	28	W0
TNG4	TN	M	28	W0
TNG5	TN	M	32	W0
TNG6	TN	M	30	W0
TNG7	TN	M	30	W0
TNG8	TN	M	31	W0
TNG9	TN	M	30	W0
TNG10	TN	M	33	W0
TCM1	TN	F	28	W0
TCM2	TN	F	27	W0
TCM3	TN	F	28	W0
TNM4	TN	F	29	W0
TNM5	TN	F	29	W0
TNM6	TN	F	28	W0
TNM7	TN	F	28	W0
TNM8	TN	F	29	W0
TNM9	TN	F	30	W0
TNM10	TN	F	31	W0
LDG1	LD	M	928	W8
LDG2	LD	M	922	W8
LDG3	LD	M	1054	W8
LDG4	LD	M	949	W8
LDG5	LD	M	845	W8
LDG6	LD	M	870	W8
LDG7	LD	M	916	W8
LDG8	LD	M	974	W8
LDG9	LD	M	897	W8
LDG10	LD	M	1028	W8
LDM16	LD	F	632	W8
LDM17	LD	F	666	W8
LDM18	LD	F	640	W8
LDM19	LD	F	575	W8
LDM20	LD	F	633	W8
LDM21	LD	F	747	W8
LDM22	LD	F	544	W8
LDM28	LD	F	700	W8
LDM29	LD	F	703	W8
LDM30	LD	F	712	W8
LAG24	LA	M	1028	W8
LAG38	LA	M	920	W8
LAG48	LA	M	1146	W8
LAG2	LA	M	928	W8
LAG4	LA	M	1036	W8
LAG5	LA	M	972	W8
LAG8	LA	M	910	W8
LAG15	LA	M	1011	W8
LAG18	LA	M	1056	W8
LAG25	LA	M	1069	W8
LAM447	LA	F	700	W8
LAM573	LA	F	805	W8
LAM732	LA	F	654	W8
LAM8158	LA	F	778	W8
LAM8151	LA	F	860	W8
LAM8135	LA	F	841	W8
LAM768	LA	F	644	W8
LAM793	LA	F	703	W8
LAM7104	LA	F	712	W8
LAM7132	LA	F	700	W8
CBG1	CB	M	992	W8
CBG2	CB	M	1017	W8
CBG3	CB	M	889	W8
CBG4	CB	M	1054	W8
CBG5	CB	M	1011	W8
CBG6	CB	M	1035	W8
CBG7	CB	M	969	W8
CBG8	CB	M	1002	W8
CBG9	CB	M	977	W8
CBG10	CB	M	773	W8
CBM1	CB	F	638	W8
CBM2	CB	F	704	W8
CBM3	CB	F	685	W8
CBM4	CB	F	659	W8
CBM5	CB	F	711	W8
CBM6	CB	F	558	W8
CBM7	CB	F	666	W8
CBM8	CB	F	598	W8
CBM9	CB	F	734	W8
CBM10	CB	F	508	W8
CKG1	CK	M	1304	W8
CKG2	CK	M	1101	W8
CKG3	CK	M	1205	W8
CKG4	CK	M	1206	W8
CKG5	CK	M	1118	W8
CKG6	CK	M	1187	W8
CKG7	CK	M	1205	W8
CKG8	CK	M	1576	W8
CKG9	CK	M	1223	W8
CKG10	CK	M	1299	W8
CKM1	CK	F	1089	W8
CKM2	CK	F	1012	W8
CKM3	CK	F	1042	W8
CKM4	CK	F	1112	W8
CKM5	CK	F	1234	W8
CKM6	CK	F	998	W8
CKM7	CK	F	879	W8
CKM8	CK	F	1141	W8
CKM9	CK	F	1000	W8
CKM10	CK	F	1223	W8
CU3G44	CU3	M	1446	W8
CU3G635	CU3	M	1104	W8
CU3G65	CU3	M	970	W8
CU3G611	CU3	M	896	W8
CU3G47	CU3	M	1487	W8
CU3G632	CU3	M	1043	W8
CU3G525	CU3	M	1388	W8
CU3G517	CU3	M	1467	W8
CU3G42	CU3	M	1104	W8
CU3G511	CU3	M	1116	W8
CU3M539	CU3	F	748	W8
CU3M6259	CU3	F	685	W8
CU3M638	CU3	F	839	W8
CU3M5146	CU3	F	1014	W8
CU3M625	CU3	F	1002	W8
CU3M616	CU3	F	1135	W8
CU3M630	CU3	F	852	W8
CU3M5133	CU3	F	909	W8
CU3M5176	CU3	F	986	W8
CU3M5253	CU3	F	891	W8
WJG1	WJ	M	984	W8
WJG2	WJ	M	1503	W8
WJG3	WJ	M	988	W8
WJG4	WJ	M	997	W8
WJG5	WJ	M	1032	W8
WJG6	WJ	M	1059	W8
WJG7	WJ	M	978	W8
WJG8	WJ	M	976	W8
WJG9	WJ	M	765	W8
WJG10	WJ	M	979	W8
WJM1	WJ	F	743	W8
WJM2	WJ	F	856	W8
WJM3	WJ	F	889	W8
WJM4	WJ	F	905	W8
WJM5	WJ	F	773	W8
WJM6	WJ	F	802	W8
WJM7	WJ	F	798	W8
WJM8	WJ	F	986	W8
WJM9	WJ	F	812	W8
WJM10	WJ	F	934	W8
WBG1	WB	M	1043	W8
WBG2	WB	M	989	W8
WBG3	WB	M	986	W8
WBG4	WB	M	947	W8
WBG5	WB	M	876	W8
WBG6	WB	M	968	W8
WBG7	WB	M	888	W8
WBG8	WB	M	897	W8
WBG9	WB	M	987	W8
WBG10	WB	M	1000	W8
WBM1	WB	F	624	W8
WBM2	WB	F	713	W8
WBM3	WB	F	428	W8
WBM4	WB	F	679	W8
WBM5	WB	F	688	W8
WBM6	WB	F	685	W8
WBM7	WB	F	723	W8
WBM8	WB	F	591	W8
WBM9	WB	F	652	W8
WBM10	WB	F	829	W8
WZG1	WZ	M	1011	W8
WZG2	WZ	M	895	W8
WZG3	WZ	M	1107	W8
WZG4	WZ	M	997	W8
WZG5	WZ	M	1205	W8
WZG6	WZ	M	946	W8
WZG7	WZ	M	1201	W8
WZG8	WZ	M	906	W8
WZG9	WZ	M	1000	W8
WZG10	WZ	M	935	W8
WZM1	WZ	F	675	W8
WZM2	WZ	F	883	W8
WZM3	WZ	F	703	W8
WZM4	WZ	F	766	W8
WZM5	WZ	F	959	W8
WZM6	WZ	F	900	W8
WZM7	WZ	F	1018	W8
WZM8	WZ	F	1111	W8
WZM9	WZ	F	988	W8
WZM10	WZ	F	912	W8
WYG1	WY	M	1001	W8
WYG2	WY	M	1005	W8
WYG3	WY	M	795	W8
WYG4	WY	M	876	W8
WYG5	WY	M	985	W8
WYG6	WY	M	1106	W8
WYG7	WY	M	876	W8
WYG8	WY	M	985	W8
WYG9	WY	M	1238	W8
WYG10	WY	M	1005	W8
WYM1	WY	F	828	W8
WYM2	WY	F	836	W8
WYM3	WY	F	895	W8
WYM4	WY	F	799	W8
WYM5	WY	F	843	W8
WYM6	WY	F	885	W8
WYM7	WY	F	716	W8
WYM8	WY	F	648	W8
WYM9	WY	F	917	W8
WYM10	WY	F	1042	W8
TCG1	TN	M	1145	W8
TCG2	TN	M	1241	W8
TCG3	TN	M	795	W8
TNG4	TN	M	864	W8
TNG5	TN	M	1104	W8
TNG6	TN	M	852	W8
TNG7	TN	M	963	W8
TNG8	TN	M	986	W8
TNG9	TN	M	978	W8
TNG10	TN	M	1425	W8
TCM1	TN	F	814	W8
TCM2	TN	F	775	W8
TCM3	TN	F	795	W8
TNM4	TN	F	895	W8
TNM5	TN	F	897	W8
TNM6	TN	F	802	W8
TNM7	TN	F	816	W8
TNM8	TN	F	901	W8
TNM9	TN	F	900	W8
TNM10	TN	F	962	W8
LDG1	LD	M	1683	W17
LDG2	LD	M	1781	W17
LDG3	LD	M	1783	W17
LDG4	LD	M	1802	W17
LDG5	LD	M	1747	W17
LDG6	LD	M	1711	W17
LDG7	LD	M	1800	W17
LDG8	LD	M	1744	W17
LDG9	LD	M	1681	W17
LDG10	LD	M	1701	W17
LDM16	LD	F	1584	W17
LDM17	LD	F	1688	W17
LDM18	LD	F	1451	W17
LDM19	LD	F	1649	W17
LDM20	LD	F	1407	W17
LDM21	LD	F	1591	W17
LDM22	LD	F	1526	W17
