131	5	19	11.835338	Micro	11.0685
147	6	19	11.835338	Micro	12.4204
168	4	19	11.835338	Micro	14.1948
204	3	19	11.835338	Micro	17.2365
309	2	19	11.835338	Micro	26.1083
1130	1	19	11.835338	Micro	95.4768
23	8	20	14.689876	Micro	1.5657
183	7	20	14.689876	Micro	12.4576
209	5	20	14.689876	Micro	14.2275
213	4	20	14.689876	Micro	14.4998
214	6	20	14.689876	Micro	14.5679
259	3	20	14.689876	Micro	17.6312
415	2	20	14.689876	Micro	28.2507
942	1	20	14.689876	Micro	64.1258
29	8	21	7.570652	Micro	3.83058
87	7	21	7.570652	Micro	11.4917
111	4	21	7.570652	Micro	14.6619
122	6	21	7.570652	Micro	16.1149
123	5	21	7.570652	Micro	16.2469
159	3	21	7.570652	Micro	21.0022
252	2	21	7.570652	Micro	33.2864
906	1	21	7.570652	Micro	119.673
35	8	22	5.893421	Micro	5.93883
101	5	22	5.893421	Micro	17.1378
115	6	22	5.893421	Micro	19.5133
127	7	22	5.893421	Micro	21.5495
146	4	22	5.893421	Micro	24.7734
186	3	22	5.893421	Micro	31.5606
274	2	22	5.893421	Micro	46.4925
579	1	22	5.893421	Micro	98.2451
21	8	23	7.084766	Micro	2.96411
106	7	23	7.084766	Micro	14.9617
112	6	23	7.084766	Micro	15.8086
117	5	23	7.084766	Micro	16.5143
128	4	23	7.084766	Micro	18.0669
156	3	23	7.084766	Micro	22.0191
224	2	23	7.084766	Micro	31.6171
755	1	23	7.084766	Micro	106.567
19	8	24	6.728043	Micro	2.824
92	6	24	6.728043	Micro	13.6741
92	7	24	6.728043	Micro	13.6741
100	5	24	6.728043	Micro	14.8632
109	4	24	6.728043	Micro	16.2008
119	3	24	6.728043	Micro	17.6872
186	2	24	6.728043	Micro	27.6455
487	1	24	6.728043	Micro	72.3836
68	8	25	4.197906	Micro	16.1986
202	7	25	4.197906	Micro	48.1192
236	6	25	4.197906	Micro	56.2185
255	4	25	4.197906	Micro	60.7446
256	5	25	4.197906	Micro	60.9828
295	3	25	4.197906	Micro	70.2731
469	2	25	4.197906	Micro	111.722
709	1	25	4.197906	Micro	168.894
18	8	26	5.969972	Micro	3.01509
75	7	26	5.969972	Micro	12.5629
91	6	26	5.969972	Micro	15.243
105	5	26	5.969972	Micro	17.588
110	4	26	5.969972	Micro	18.4255
134	3	26	5.969972	Micro	22.4457
193	2	26	5.969972	Micro	32.3285
663	1	26	5.969972	Micro	111.056
47	8	27	6.390996	Micro	7.3541
158	7	27	6.390996	Micro	24.7223
165	5	27	6.390996	Micro	25.8176
165	6	27	6.390996	Micro	25.8176
169	4	27	6.390996	Micro	26.4435
233	3	27	6.390996	Micro	36.4575
263	2	27	6.390996	Micro	41.1516
842	1	27	6.390996	Micro	131.748
41	8	28	5.616133	Micro	7.3004
113	6	28	5.616133	Micro	20.1206
115	7	28	5.616133	Micro	20.4767
128	4	28	5.616133	Micro	22.7915
129	5	28	5.616133	Micro	22.9695
163	3	28	5.616133	Micro	29.0235
233	2	28	5.616133	Micro	41.4876
885	1	28	5.616133	Micro	157.582
47	8	29	2.904998	Dot	16.179
87	1	29	2.904998	Dot	29.9484
138	5	29	2.904998	Dot	47.5043
170	4	29	2.904998	Dot	58.5198
175	3	29	2.904998	Dot	60.241
187	6	29	2.904998	Dot	64.3718
188	2	29	2.904998	Dot	64.7161
222	7	29	2.904998	Dot	76.42
62	8	30	2.404308	Dot	25.787
150	6	30	2.404308	Dot	62.388
162	5	30	2.404308	Dot	67.3791
186	7	30	2.404308	Dot	77.3611
